"r" "obs" "theo" "lo" "hi"
"171" 42309.2465278335 56160117537.422 5623678118.24548 5442237762.15293 5956976380.2156
"172" 42558.1244485855 56312393075.2375 5690033628.22201 5500478396.25358 6029574786.87688
"173" 42807.0023693375 56447468709.0595 5756778320.07524 5566832906.8342 6105447211.82561
"174" 43055.8802900894 56576030329.7544 5823912193.80516 5638125350.02902 6173994642.41038
"175" 43304.7582108414 56699076807.0316 5891435249.41177 5696126361.07298 6242881891.89764
"176" 43553.6361315933 56822395001.6392 5959347486.89508 5752963814.34178 6305725579.40317
"177" 43802.5140523453 56950459580.2438 6027648906.25509 5817418796.34338 6374225647.37699
"178" 44051.3919730973 57082713479.5287 6096339507.49179 5886490995.39639 6449089754.71259
"179" 44300.2698938492 57205865022.0186 6165419290.60519 5952966464.1833 6511537549.67676
"180" 44549.1478146012 57338199017.7278 6234888255.59528 6012927305.21584 6595003559.37154
"181" 44798.0257353531 57447622964.2816 6304746402.46206 6068355512.90336 6656138382.68639
"182" 45046.9036561051 57551924964.1056 6374993731.20554 6142894389.04496 6731875828.86999
"183" 45295.7815768571 57683780965.1276 6445630241.82572 6225931168.29996 6798531697.85874
"184" 45544.659497609 57797140691.1317 6516655934.32259 6298275179.03755 6889104067.97586
"185" 45793.537418361 57903409886.849 6588070808.69616 6375950185.31365 6970378416.00226
"186" 46042.415339113 58017868796.6476 6659874864.94642 6438797427.14651 7031197468.53452
"187" 46291.2932598649 58131515727.3639 6732068103.07338 6500360515.13267 7115226929.70136
"188" 46540.1711806169 58254418489.8261 6804650523.07703 6571382595.41551 7180679095.8903
"189" 46789.0491013688 58371503051.4715 6877622124.95738 6632515773.52876 7241932293.62604
"190" 47037.9270221208 58475383734.7294 6950982908.71442 6706249668.46691 7330883305.36522
"191" 47286.8049428728 58571053490.472 7024732874.34816 6778488998.37022 7391383478.20882
"192" 47535.6828636247 58680002818.7598 7098872021.8586 6850951214.86109 7456641639.13504
"193" 47784.5607843767 58768857725.4918 7173400351.24572 6936142718.02849 7531360485.41611
"194" 48033.4387051287 58873558389.0207 7248317862.50955 7011641046.48694 7595144301.87711
"195" 48282.3166258806 58991668863.3756 7323624555.65007 7081985623.26627 7663567087.07325
"196" 48531.1945466326 59087217152.9299 7399320430.66728 7148213519.42261 7752950198.16708
"197" 48780.0724673845 59202908061.9942 7475405487.56119 7217047568.73112 7831520812.61664
"198" 49028.9503881365 59307624349.7967 7551879726.3318 7296936126.04 7917846329.5548
"199" 49277.8283088885 59396056040.923 7628743146.9791 7361559237.15987 8002454953.12005
"200" 49526.7062296404 59495385418.5823 7705995749.50309 7429283490.46107 8071631912.24512
"201" 49775.5841503924 59588469471.8277 7783637533.90378 7506093246.40278 8157226445.01304
"202" 50024.4620711443 59692682399.0693 7861668500.18117 7580957981.50664 8223066367.69631
"203" 50273.3399918963 59783537273.0082 7940088648.33525 7649766431.89167 8305876250.00933
"204" 50522.2179126483 59882529602.0316 8018897978.36602 7735748032.50183 8393754035.69287
"205" 50771.0958334002 59980992416.5085 8098096490.27349 7815876527.70489 8476096552.70195
"206" 51019.9737541522 60081788723.9262 8177684184.05766 7897219448.10537 8569818370.0342
"207" 51268.8516749042 60168173012.6036 8257661059.71852 7973431377.03616 8662212867.13907
"208" 51517.7295956561 60260494049.6432 8338027117.25608 8036323199.92326 8761828782.01075
"209" 51766.6075164081 60368375703.6868 8418782356.67033 8103883126.13893 8837966113.12683
"210" 52015.48543716 60456507558.8444 8499926777.96128 8189118834.31304 8906661854.46728
"211" 52264.363357912 60529615353.304 8581460381.12892 8263919245.05044 8991716635.21508
"212" 52513.241278664 60621930682.4382 8663383166.17326 8343564396.62184 9070048403.48806
"213" 52762.1191994159 60713689354.2417 8745695133.09429 8413582650.84486 9156245489.26898
"214" 53010.9971201679 60810503717.3219 8828396281.89202 8486828814.02917 9220876657.96095
"215" 53259.8750409199 60893849893.6112 8911486612.56644 8576591321.99978 9296363427.80412
"216" 53508.7529616718 60985281566.3318 8994966125.11756 8645971786.02405 9389312411.48548
"217" 53757.6308824238 61071178399.0382 9078834819.54537 8733045341.03595 9466213978.5303
"218" 54006.5088031757 61160052401.1769 9163092695.84988 8810461441.84538 9550874251.29809
"219" 54255.3867239277 61263778965.7897 9247739754.03108 8894322034.51661 9659384247.83271
"220" 54504.2646446797 61364936419.2231 9332775994.08898 8978711771.20287 9738675125.77401
"221" 54753.1425654316 61457667054.3783 9418201416.02357 9066297451.55756 9827451263.8248
"222" 55002.0204861836 61546473357.5685 9504016019.83487 9152291105.21882 9906463090.06681
"223" 55250.8984069356 61626030791.1458 9590219805.52285 9241910984.24102 9997693052.53836
"224" 55499.7763276875 61726950133.8054 9676812773.08753 9339709039.08128 10101578472.2897
"225" 55748.6542484395 61811199809.0238 9763794922.5289 9428117861.01862 10177219496.2945
"226" 55997.5321691914 61913983117.9203 9851166253.84697 9503640826.14251 10276635565.839
"227" 56246.4100899434 62003056617.0916 9938926767.04174 9609865487.63717 10359123079.3758
"228" 56495.2880106954 62078154440.5332 10027076462.1132 9694703177.22475 10448740635.7325
