COD_MUN	COD_DEPTO	nbi	msnm
5660	5	33.57326	1050
17088	17	28.77621	1600
86569	86	41.37605	272
66572	66	52.91228	1563
41676	41	42.01515	1700
86573	86	37.82451	200
5656	5	34.40164	734
15204	15	38.39669	2825
41660	41	49.43886	1415
68464	68	49.41844	1682
18610	18	49.72085	365
25839	25	49.47454	1900
50711	50	53.8625	390
19693	19	74.95839	2100
5861	5	26.0143	1330
17050	17	20.33665	1908
15600	15	60.22284	2150
41530	41	44.97468	1740
5480	5	60.74059	132
25040	25	26.85896	1650
25279	25	30.36086	1925
47030	47	64.64508	113
27800	27	60.62608	50
66456	66	45.01489	1501
25295	25	20.96466	2563
15806	15	16.18455	2500
52256	52	81.01765	1500
18094	18	47.82852	313
68385	68	48.87206	926
5809	5	27.78324	1550
52540	52	46.55954	1000
52381	52	46.20974	2150
25878	25	38.45916	567
13650	13	69.80206	25
5040	5	48.14007	1550
54250	54	73.11436	150
5649	5	32.4148	1000
70523	70	73.36728	40
5240	5	42.51936	1250
17877	17	20.82488	1000
76403	76	18.73607	916
25486	25	17.16024	2583
44098	44	62.87636	205
70702	70	55.51469	145
73678	73	47.95326	475
5368	5	27.06216	1975
25317	25	32.82252	2750
85162	85	27.23864	430
47798	47	68.16138	20
54245	54	66.5267	950
47660	47	71.05447	140
85430	85	54.9193	166
25769	25	14.01703	2650
25402	25	24.80499	1200
68101	68	56.21445	2130
68229	68	40.20874	1500
41548	41	44.85455	918
19418	19	44.81081	50
76606	76	20.83835	1400
52240	52	47.20492	1961
13780	13	63.48135	16
8675	8	60.00388	7
76020	76	25.55812	1220
13473	13	63.80289	41
25322	25	18.52397	2650
63272	63	18.80956	1800
13673	13	48.3371	33
15632	15	49.19112	2625
13838	13	62.02341	50
25260	25	24.68236	2600
44855	44	62.98046	250
23168	23	62.87307	4
86749	86	20.66094	2137
13212	13	70.23754	20
41378	41	44.6721	1540
13300	13	78.34841	26
8558	8	35.36264	75
52405	52	64.26216	1500
20045	20	56.51382	111
76100	76	30.36922	930
52565	52	64.53181	2300
5038	5	55.15902	1675
52320	52	54.28549	2650
20614	20	49.6588	1165
13222	13	72.06473	62
5858	5	46.32596	1000
76497	76	30.66938	935
41799	41	53.44817	573
52260	52	45.34301	2200
13600	13	76.98473	10
25772	25	23.6229	2600
73671	73	31.65239	311
73055	73	32.63332	331
73067	73	66.4283	450
8141	8	74.21639	13
52560	52	42.60496	2750
54172	54	22.92011	1230
5789	5	28.24831	1500
68255	68	44.92469	445
47545	47	83.15524	25
5364	5	24.28059	1750
66045	66	24.33582	1619
20750	20	40.288	167
66687	66	23.59436	1600
70473	70	61.47697	160
15861	15	28.44929	2642
73675	73	51.3295	1447
25885	25	64.72557	1200
8372	8	30.95301	50
20383	20	54.77276	35
76823	76	29.90196	958
52473	52	84.31736	8
23464	23	63.46885	7
52215	52	71.94325	2800
23090	23	85.95241	50
85410	85	33.73249	475
23350	23	53.64932	40
5893	5	59.05479	100
99001	99	45.61941	51
15491	15	13.54209	2500
66318	66	25.68795	2150
17444	17	26.89805	1275
18410	18	65.28689	237
44378	44	58.68959	179
5761	5	33.55294	660
17513	17	24.88342	1814
23300	23	61.27121	10
25815	25	33.76511	399
5607	5	12.20022	2250
20295	20	50.5239	43
81065	81	41.48244	155
47258	47	61.63307	5
5667	5	35.09837	1011
52258	52	50.21679	1650
20787	20	61.28843	32
15047	15	42.76299	3042
13074	13	74.54186	25
54206	54	45.09837	1020
76126	76	19.11691	1500
19845	19	30.65863	970
8436	8	57.14476	10
5197	5	36.23087	1300
52693	52	33.33557	1750
19585	19	50.68034	2400
76616	76	26.40508	939
25572	25	29.25615	176
13647	13	57.08296	25
76890	76	26.58787	850
19760	19	57.2733	2450
52418	52	68.49361	1550
76670	76	16.52498	975
13667	13	68.9275	27
54820	54	41.67753	1644
52685	52	57.35487	2100
70265	70	76.94455	25
41770	41	45.68507	1000
52612	52	65.90536	1181
23586	23	67.62757	6
15299	15	23.06202	1675
50568	50	65.46901	149
41319	41	36.93913	888
25151	25	30.33959	1698
27615	27	85.21348	22
13744	13	62.00044	25
41791	41	40.8479	840
94001	94	57.52558	94
18256	18	54.22483	346
5093	5	45.35628	1600
68572	68	35.06806	1625
25799	25	16.16643	2600
86757	86	40.62315	535
41615	41	32.32226	700
27205	27	62.57659	50
52621	52	72.92028	69
52019	52	45.53115	1700
52699	52	67.98079	2500
68235	68	51.07993	775
25873	25	25.85132	2724
27077	27	78.27753	5
5585	5	31.94085	131
68861	68	34.04668	2133
5591	5	33.6503	152
52427	52	82.52476	23
52317	52	39.8917	3087
20517	20	51.26751	75
5541	5	21.52913	1891
17524	17	25.85262	1600
76828	76	22.7918	1308
20770	20	46.86002	113
70717	70	57.27237	137
54800	54	56.53291	1000
76036	76	18.4434	956
47170	47	72.25111	100
25200	25	13.16113	2620
86885	86	35.67783	426
5400	5	18.3985	2472
73861	73	34.91769	332
17433	17	28.12707	2075
23419	23	85.38368	7
76306	76	18.10308	1036
19809	19	73.18531	10
20570	20	83.40221	1100
19364	19	72.94525	2250
8560	8	50.03405	8
52585	52	40.94317	2900
25245	25	21.3193	980
13683	13	91.89804	50
17653	17	18.84637	1793
19022	19	88.53701	2200
70823	70	55.84912	68
50226	50	23.3004	412
52378	52	71.6679	2500
5138	5	57.08539	1298
5642	5	38.58158	1250
5002	5	33.85112	2275
19450	19	69.04991	1156
13873	13	86.43401	112
47692	47	66.34691	22
15646	15	30.86286	2604
97001	97	51.77953	182
70235	70	53.10767	55
20032	20	70.85836	75
20550	20	55.36114	70
5890	5	40.62873	1462
52687	52	57.30759	1950
13810	13	86.48026	25
52786	52	55.11098	1375
25758	25	8.943572	2574
76113	76	21.31054	941
73408	73	27.34541	345
73124	73	28.34117	1814
17662	17	32.92857	1250
5237	5	18.7208	2200
25183	25	39.97539	2656
73483	73	47.04027	326
41807	41	31.45388	1011
18592	18	46.20456	250
41016	41	38.01141	391
5854	5	54.49087	1064
19780	19	59.50628	1250
19824	19	60.96853	2600
68655	68	33.22291	135
70418	70	54.6797	184
25214	25	13.88114	2561
13006	13	80.74274	24
47268	47	59.21975	20
5670	5	38.11574	1427
18150	18	51.56536	242
76041	76	30.97474	964
66440	66	28.19773	1600
18247	18	42.33807	373
25743	25	24.62319	1468
52110	52	58.6435	1960
23079	23	61.34454	56
5495	5	68.12907	35
5284	5	44.36635	1500
27787	27	86.86078	78
50689	50	26.98631	421
20621	20	49.34446	66
73624	73	45.96052	875
25785	25	12.39689	2600
5674	5	29.92285	2200
5209	5	39.21983	1950
15469	15	30.87877	1669
8137	8	62.86484	7
5664	5	17.87154	2471
