x,y,mag,prof,ano,catprof,catmag,descripcion
1116698.648,1237088.139,4.5,172,1996,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1133838.033,1237127.917,4.3,160,2000,intermedio,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
1106636.13,1237288.533,4.2,150,2000,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1094694.515,1237376.858,4.8,150,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1098011.535,1237382.781,4.6,148.88,1996,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1087839.06,1237586.462,5.4,150,1994,intermedio,Moderada Magnitud,Shales con yeso  cherts  calizas y arenitas.
1120014.649,1237648.458,4.3,156.1,1993,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1087727.956,1237918.082,4.3,141.4,2008,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1094472.413,1237929.478,4.6,154.1,1999,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1104534.013,1237948.048,4.6,150,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1109177.914,1237957.252,5.5,160,1998,intermedio,Moderada Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1113047.643,1238075.835,4.2,158,1993,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1092149.972,1238257.263,4.9,150,1995,intermedio,Ligera Magnitud,Capas rojas constituidas por arenitas  conglomerados y limolitas.
1131844.631,1238339.761,4.6,150,1997,intermedio,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
1095356.157,1238373.443,4.6,148.7,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1115147.783,1238412.104,4,152,1996,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1104974.778,1238723.139,4,2.5,2000,superficial,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1108733.849,1238841.203,4,145,1995,intermedio,Ligera Magnitud,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados
1118463.701,1238972.339,4.1,131.9,2001,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1102873.378,1239050.897,4.3,150,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1097787.188,1239152.02,4.5,146.6,1996,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1099445.652,1239155.059,4,150,1995,intermedio,Ligera Magnitud,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados
1107848.422,1239281.846,5,150,2000,intermedio,Moderada Magnitud,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados
1130736.452,1239332.582,4.4,153.9,2007,intermedio,Ligera Magnitud,Metalodolitas  metarenitas  metaconglomerados y mármoles.
1100329.757,1239377.907,4,150,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
