X	Y	Magnitud
896448,390000	939660,350000	2,200000
896527,400000	1003805,570000	1,400000
896530,310000	1006017,500000	1,000000
897706,530000	1054678,500000	1,400000
897830,620000	1623209,990000	2,800000
898855,530000	1082326,260000	2,800000
898950,330000	1143155,580000	1,500000
899301,790000	1331181,330000	1,500000
899348,940000	1353302,890000	3,500000
901569,250000	1359934,650000	2,100000
901912,570000	848968,800000	1,500000
902008,520000	946289,710000	1,700000
902262,360000	1136514,310000	1,700000
902279,820000	1147574,200000	1,600000
902961,220000	766025,420000	1,800000
902961,950000	767131,320000	2,700000
903380,280000	1143148,500000	1,500000
903765,990000	1355505,710000	4,300000
904106,320000	812472,200000	1,400000
904112,290000	820213,480000	2,600000
904198,320000	916427,420000	1,700000
904492,910000	1146464,730000	1,000000
905449,130000	1039184,550000	1,700000
905473,680000	1057985,690000	1,000000
906293,900000	759387,970000	2,400000
906326,050000	806941,070000	1,300000
906340,210000	825741,230000	3,100000
906352,480000	841223,750000	1,000000
906499,320000	990521,900000	2,400000
906586,950000	1061302,080000	1,400000
907613,010000	993838,410000	1,800000
907790,610000	1129870,070000	2,600000
908579,260000	845645,540000	2,000000
908735,550000	1004896,410000	3,200000
909020,390000	1209499,140000	2,400000
909197,150000	1311252,690000	2,700000
909676,360000	826844,570000	2,600000
910023,530000	1142032,500000	1,300000
910192,190000	1249313,410000	2,200000
910277,140000	1297978,270000	1,700000
910776,140000	810255,530000	2,000000
911887,280000	809148,880000	2,600000
911895,870000	821313,530000	1,200000
912051,140000	992727,510000	1,700000
912070,820000	1010422,220000	1,500000
912120,270000	1052447,490000	2,500000
912408,490000	1252627,730000	2,700000
912410,330000	1253733,730000	2,700000
912545,290000	1331155,300000	1,900000
912998,440000	808042,240000	1,600000
912999,190000	809148,110000	1,400000
913003,010000	814677,480000	1,700000
913004,550000	816889,230000	1,900000
913083,920000	915312,980000	1,300000
913176,720000	1007103,220000	2,400000
913279,000000	1092259,910000	1,200000
