X	Y	Magnitud	Marcas
889636,22	794789,06	3,1	A
889753,55	1483850,16	3,1	A
889864,32	1000496,67	1,3	A
890092,23	1144276,72	1,2	A
890707,11	739491,8	2,3	A
892964,63	784833,03	1,9	A
892969,85	791468,57	1,8	A
893222,6	1021505,58	1,6	A
894267,62	972841,56	1,4	A
895344,27	945191,37	1,6	A
895346,88	947403,27	3,2	A
895419,13	1004913	1,4	A
896437,07	929706,86	1,7	A
896448,39	939660,35	2,2	A
896527,4	1003805,57	1,4	A
896530,31	1006017,5	1	A
897706,53	1054678,5	1,4	A
897830,62	1623209,99	2,8	A
898855,53	1082326,26	2,8	A
898950,33	1143155,58	1,5	A
899301,79	1331181,33	1,5	A
899348,94	1353302,89	3,5	B
901569,25	1359934,65	2,1	A
901912,57	848968,8	1,5	A
902008,52	946289,71	1,7	A
902262,36	1136514,31	1,7	A
902279,82	1147574,2	1,6	A
902961,22	766025,42	1,8	A
902961,95	767131,32	2,7	A
903380,28	1143148,5	1,5	A
903765,99	1355505,71	4,3	B
904106,32	812472,2	1,4	A
904112,29	820213,48	2,6	A
904198,32	916427,42	1,7	A
904492,91	1146464,73	1	A
905449,13	1039184,55	1,7	A
905473,68	1057985,69	1	A
906293,9	759387,97	2,4	A
906326,05	806941,07	1,3	A
906340,21	825741,23	3,1	A
906352,48	841223,75	1	A
906499,32	990521,9	2,4	A
906586,95	1061302,08	1,4	A
907613,01	993838,41	1,8	A
907790,61	1129870,07	2,6	A
908579,26	845645,54	2	A
908735,55	1004896,41	3,2	A
909020,39	1209499,14	2,4	A
909197,15	1311252,69	2,7	A
909676,36	826844,57	2,6	A
910023,53	1142032,5	1,3	A
910192,19	1249313,41	2,2	A
910277,14	1297978,27	1,7	A
910776,14	810255,53	2	A
911887,28	809148,88	2,6	A
911895,87	821313,53	1,2	A
912051,14	992727,51	1,7	A
912070,82	1010422,22	1,5	A
912120,27	1052447,49	2,5	A
912408,49	1252627,73	2,7	A
912410,33	1253733,73	2,7	A
912545,29	1331155,3	1,9	A
912998,44	808042,24	1,6	A
912999,19	809148,11	1,4	A
913003,01	814677,48	1,7	A
913004,55	816889,23	1,9	A
913083,92	915312,98	1,3	A
913176,72	1007103,22	2,4	A
913279	1092259,91	1,2	A
914108,87	805829,74	1,8	A
914120,25	822417,83	1,6	A
914142,2	852276,49	2,1	A
914296,14	1015949,33	1,6	A
914306,08	1024796,69	1,9	A
914500,45	1175205,16	1,7	A
914696,47	1299076,54	2,1	A
915221,54	806934,87	1,4	A
915269,18	872181,46	1,8	A
915420,43	1029219,12	1,5	A
915473,7	1074562,1	1,5	A
915481,86	1081197,71	1,1	A
916316,86	780393,42	1,9	A
916427,22	927474,78	1,5	A
916513,96	1014840,98	1,2	A
916630,56	1113268,55	2	A
917446,82	809145,15	1,7	A
917451,17	815780,33	1,6	A
917989,56	1286904,86	1,8	A
918564,46	817991,33	1,1	A
918602,23	871072,97	2,2	A
919015,33	1236027,35	2,2	A
919839,08	1011519,73	1,6	A
